date,gamePk,home_team,away_team,home_score,away_score,home_ops,home_era,home_whip,away_ops,away_era,away_whip,run_diff_home,run_diff_away,result_home,result_away,home_record,away_record
2025-03-03,779128,Baltimore Orioles,Boston Red Sox,6,6,0.708,6.0,1.556,0.869,5.0,1.333,0,0,0,0,0-1,0-0
2025-03-03,778859,Chicago White Sox,Athletics,4,5,0.686,5.0,1.778,0.791,4.0,0.889,-1,1,0,1,0-0,0-1
2025-03-04,778857,Los Angeles Dodgers,Cincinnati Reds,4,2,0.771,2.0,0.889,0.621,2.25,1.375,2,-2,1,0,0-2,0-1
2025-03-04,779011,San Diego Padres,San Francisco Giants,1,1,0.554,1.0,0.667,0.366,1.0,1.111,0,0,0,0,0-1,0-1
2025-03-04,778798,Colorado Rockies,Cincinnati Reds,9,5,1.114,5.0,1.556,0.942,10.125,2.375,4,-4,1,0,0-1,0-2
2025-03-04,778933,Texas Rangers,Athletics,3,6,0.665,6.0,1.556,0.959,1.0,1.0,-3,3,0,1,0-1,0-2
2025-03-04,778750,Chicago Cubs,San Diego Padres,16,1,1.072,1.0,0.889,0.458,13.5,2.75,15,-15,1,0,0-2,0-1
2025-03-04,778825,Cleveland Guardians,Los Angeles Angels,8,1,0.924,1.0,1.222,0.707,9.0,1.75,7,-7,1,0,0-1,0-1
2025-03-04,778909,Philadelphia Phillies,New York Yankees,3,12,0.593,7.0,1.667,0.967,3.0,1.222,-9,9,0,1,0-1,0-1
2025-03-04,778974,Tampa Bay Rays,Detroit Tigers,4,1,0.812,1.0,1.0,0.483,4.5,1.25,3,-3,1,0,0-2,0-1
2025-03-04,779077,St. Louis Cardinals,New York Mets,6,1,0.947,0.0,0.778,0.362,6.75,1.5,5,-5,1,0,0-1,0-2
2025-03-04,778733,Washington Nationals,St. Louis Cardinals,4,6,0.535,6.0,1.222,0.671,4.0,1.333,-2,2,0,1,0-1,0-1
2025-03-04,779033,Pittsburgh Pirates,Boston Red Sox,4,12,0.749,11.0,2.0,0.941,4.0,1.222,-8,8,0,1,0-1,0-1
2025-03-04,778708,Atlanta Braves,Minnesota Twins,0,0,0.458,0.0,0.778,0.39,0.0,1.111,0,0,0,0,0-2,0-1
2025-03-05,779155,Los Angeles Angels,Los Angeles Dodgers,3,5,0.572,5.0,1.222,0.68,2.0,0.889,-2,2,0,1,0-2,0-1
2025-03-05,778934,Kansas City Royals,Seattle Mariners,9,6,0.969,6.0,1.222,0.799,10.125,1.75,3,-3,1,0,0-2,0-1
2025-03-05,779096,Milwaukee Brewers,Chicago White Sox,2,8,0.609,7.0,1.778,0.962,2.0,1.111,-6,6,0,1,0-1,0-2
2025-03-05,778796,Arizona Diamondbacks,San Francisco Giants,5,11,0.935,11.0,2.778,1.085,5.0,1.444,-6,6,0,1,0-2,0-2
2025-03-05,779014,San Diego Padres,Colorado Rockies,3,4,0.476,2.0,1.222,0.509,2.0,1.0,-1,1,0,1,0-2,0-2
2025-03-05,778855,Chicago White Sox,Milwaukee Brewers,2,3,0.572,2.0,1.111,0.664,2.0,1.0,-1,1,0,1,0-1,0-2
2025-03-05,778878,Minnesota Twins,Baltimore Orioles,2,5,0.664,5.0,1.556,0.751,2.0,1.333,-3,3,0,1,0-1,0-1
2025-03-05,779074,Miami Marlins,Washington Nationals,7,8,0.728,8.0,1.667,1.075,7.0,1.556,-1,1,0,1,0-2,0-2
2025-03-05,779113,Detroit Tigers,Philadelphia Phillies,17,7,1.392,7.0,1.333,0.835,19.125,2.875,10,-10,1,0,0-2,0-2
2025-03-05,778828,Cincinnati Reds,Texas Rangers,3,5,0.618,5.0,1.444,0.646,3.0,1.0,-2,2,0,1,0-2,0-2
2025-03-05,779034,Pittsburgh Pirates,Toronto Blue Jays,7,6,0.9,6.0,1.556,1.006,7.875,1.75,1,-1,1,0,0-2,0-2
2025-03-05,778770,Boston Red Sox,Tampa Bay Rays,4,2,0.793,2.0,1.333,0.636,3.375,1.625,2,-2,1,0,0-2,0-1
2025-03-05,778735,Houston Astros,St. Louis Cardinals,6,5,0.921,5.0,1.778,0.96,5.192,1.269,1,-1,1,0,0-1,0-2
2025-03-06,778797,Arizona Diamondbacks,Seattle Mariners,11,4,0.965,4.0,1.667,0.648,9.0,2.625,7,-7,1,0,0-3,0-2
2025-03-06,779015,Seattle Mariners,Los Angeles Angels,5,5,0.697,3.0,1.556,0.713,5.0,1.222,0,0,0,0,0-2,0-2
2025-03-06,779147,Athletics,Milwaukee Brewers,0,10,0.226,7.0,2.0,0.804,0.0,0.333,-10,10,0,1,0-1,0-3
2025-03-06,778752,Chicago Cubs,Kansas City Royals,3,9,0.553,9.0,1.667,0.921,3.0,0.889,-6,6,0,1,0-3,0-1
2025-03-06,778830,Cleveland Guardians,Arizona Diamondbacks,4,0,0.706,0.0,0.889,0.429,4.5,0.875,4,-4,1,0,0-2,0-1
2025-03-06,778893,New York Mets,Houston Astros,1,5,0.56,5.0,1.667,0.717,1.0,1.444,-4,4,0,1,0-1,0-2
2025-03-06,778699,Atlanta Braves,Miami Marlins,1,1,0.391,1.0,0.889,0.45,1.0,0.778,0,0,0,0,0-3,0-2
2025-03-06,778987,San Francisco Giants,Chicago White Sox,7,3,1.084,3.0,0.889,0.569,7.875,1.375,4,-4,1,0,0-1,0-3
2025-03-06,778932,Texas Rangers,San Diego Padres,8,2,1.093,2.0,0.556,0.598,9.0,2.125,6,-6,1,0,0-2,0-2
2025-03-06,778856,Los Angeles Dodgers,Texas Rangers,8,4,1.119,4.0,1.556,0.859,7.875,2.125,4,-4,1,0,0-3,0-3
2025-03-06,778953,Toronto Blue Jays,Boston Red Sox,7,4,0.957,4.0,1.556,0.787,6.75,1.875,3,-3,1,0,0-1,0-2
2025-03-06,779046,New York Yankees,Minnesota Twins,4,8,0.658,8.0,1.889,1.012,3.0,1.556,-4,4,0,1,0-2,0-2
2025-03-06,778910,Philadelphia Phillies,Tampa Bay Rays,4,5,0.702,1.0,1.556,0.702,4.0,1.333,-1,1,0,1,0-2,0-2
2025-03-06,779073,St. Louis Cardinals,Washington Nationals,1,12,0.409,5.0,2.111,0.946,1.0,0.889,-11,11,0,1,0-2,0-3
2025-03-06,779127,Baltimore Orioles,Pittsburgh Pirates,5,9,0.65,8.0,2.0,0.93,5.0,1.444,-4,4,0,1,0-2,0-2
2025-03-07,779109,Detroit Tigers,Baltimore Orioles,11,7,1.219,7.0,1.444,0.694,12.375,2.5,4,-4,1,0,0-3,0-2
2025-03-07,779045,New York Yankees,Toronto Blue Jays,8,7,1.086,6.0,1.333,0.816,8.64,2.16,1,-1,1,0,0-3,0-3
2025-03-07,779075,St. Louis Cardinals,Houston Astros,6,4,1.009,4.0,1.222,0.706,6.75,2.25,2,-2,1,0,0-3,0-3
2025-03-07,779016,Seattle Mariners,Los Angeles Dodgers,4,6,0.641,5.0,1.667,0.807,4.0,1.0,-2,2,0,1,0-3,0-2
2025-03-07,779141,Athletics,Cleveland Guardians,5,12,0.746,12.0,2.0,1.33,5.0,2.111,-7,7,0,1,0-2,0-2
2025-03-07,778734,Washington Nationals,New York Mets,5,4,0.981,2.0,1.111,0.542,4.5,1.875,1,-1,1,0,0-2,0-3
2025-03-07,778773,Boston Red Sox,Miami Marlins,20,5,1.615,4.0,1.667,0.757,22.5,3.25,15,-15,1,0,0-3,0-3
2025-03-07,778874,Minnesota Twins,Atlanta Braves,7,1,0.847,1.0,1.333,0.741,5.625,1.875,6,-6,1,0,0-2,0-1
2025-03-07,779032,Pittsburgh Pirates,Philadelphia Phillies,3,2,0.583,2.0,1.111,0.718,3.375,1.375,1,-1,1,0,0-3,0-3
2025-03-07,778971,Tampa Bay Rays,Minnesota Twins,9,9,1.027,6.0,1.667,0.696,9.0,2.111,0,0,0,0,0-3,0-3
2025-03-07,778929,Kansas City Royals,Los Angeles Angels,8,2,1.4,3.0,1.667,0.73,14.4,2.0,6,-6,1,0,0-3,0-3
2025-03-08,779071,Miami Marlins,New York Mets,3,7,0.669,7.0,1.889,0.905,1.0,1.111,-4,4,0,1,0-3,0-4
2025-03-08,778731,Houston Astros,New York Yankees,5,2,0.9,1.0,1.333,0.658,5.192,1.615,3,-3,1,0,0-2,0-2
2025-03-08,789465,Athletics,Arizona Diamondbacks,4,2,0.797,2.0,0.778,0.519,4.5,0.875,2,-2,1,0,0-3,0-2
2025-03-08,779095,Milwaukee Brewers,Los Angeles Angels,2,6,0.778,6.0,1.667,0.945,2.0,1.0,-4,4,0,1,0-2,0-4
2025-03-08,779008,San Diego Padres,Cleveland Guardians,7,2,0.66,2.0,1.0,0.589,6.75,1.125,5,-5,1,0,0-3,0-3
2025-03-08,778792,Colorado Rockies,Athletics,1,8,0.572,8.0,1.778,0.781,1.0,1.222,-7,7,0,1,0-2,0-3
2025-03-08,778853,Chicago White Sox,Los Angeles Dodgers,5,2,0.837,2.0,0.889,0.439,5.625,1.625,3,-3,1,0,0-2,0-3
2025-03-08,778989,San Francisco Giants,Kansas City Royals,7,3,1.028,3.0,1.222,0.719,7.875,1.625,4,-4,1,0,0-2,0-2
2025-03-08,778930,Texas Rangers,Kansas City Royals,5,3,0.837,3.0,0.667,0.381,5.625,1.5,2,-2,1,0,0-3,0-3
2025-03-08,778827,Cincinnati Reds,Arizona Diamondbacks,9,8,0.863,8.0,2.111,1.115,10.125,2.25,1,-1,1,0,0-3,0-3
2025-03-08,778955,Toronto Blue Jays,Detroit Tigers,5,0,0.698,0.0,0.444,0.318,4.5,1.5,5,-5,1,0,0-2,0-2
2025-03-08,778697,Atlanta Braves,Pittsburgh Pirates,6,5,0.781,5.0,2.111,0.886,5.4,1.56,1,-1,1,0,0-4,0-3
2025-03-08,778908,Philadelphia Phillies,Toronto Blue Jays,5,4,0.844,4.0,1.222,0.897,5.625,1.875,1,-1,1,0,0-3,0-4
2025-03-08,778873,Minnesota Twins,Boston Red Sox,9,8,1.113,8.0,1.444,0.754,9.72,2.16,1,-1,1,0,0-3,0-3
2025-03-08,779126,Baltimore Orioles,Tampa Bay Rays,3,6,0.68,6.0,1.444,0.953,3.0,1.111,-3,3,0,1,0-3,0-3
2025-03-08,778724,Washington Nationals,St. Louis Cardinals,3,5,0.568,2.0,1.444,0.574,2.0,1.111,-2,2,0,1,0-3,0-3
2025-03-08,778751,Chicago Cubs,Seattle Mariners,9,8,1.066,8.0,1.222,1.011,10.125,1.75,1,-1,1,0,0-4,0-3
2025-03-09,778753,Chicago Cubs,San Francisco Giants,6,8,0.868,8.0,1.889,1.094,6.0,1.556,-2,2,0,1,0-5,0-3
2025-03-09,778790,Arizona Diamondbacks,Texas Rangers,14,1,1.207,1.0,0.889,0.447,15.75,2.75,13,-13,1,0,0-4,0-4
2025-03-09,779010,Seattle Mariners,Colorado Rockies,8,1,1.015,1.0,0.889,0.506,9.0,1.625,7,-7,1,0,0-4,0-3
2025-03-09,779158,Los Angeles Angels,Cincinnati Reds,4,1,0.78,1.0,0.889,0.56,4.5,1.5,3,-3,1,0,0-3,0-3
